SOIL_ID,SNAM
380,S3_S1_SL3_2_>100cm_>100cm_N_A
381,S3_S1_SL3_2_>100cm_>100cm_Y_A
382,S3_S1_SL3_4_>100cm_60-100cm_Y_A
383,S3_S1_SL3_4_>100cm_<60cm_N_A
384,S3_S1_SL3_4_>100cm_<60cm_Y_A
385,S3_S1_SL3_4_>100cm_>100cm_N_A
386,S3_S1_SL3_4_>100cm_>100cm_N_B
387,S3_S1_SL3_4_>100cm_>100cm_N_C
388,S3_S1_SL3_4_>100cm_>100cm_Y_A
389,S3_S1_SL3_4_>100cm_>100cm_Y_B
390,S3_S3_L_3_>100cm_60-100cm_N_D
391,S3_S3_L_3_>100cm_<60cm_N_C
392,S3_S3_L_3_>100cm_>100cm_N_C
393,S3_S3_L_3_>100cm_>100cm_Y_A
394,S3_S3_L_3_>100cm_>100cm_Y_C
395,S3_S3_L_4_>100cm_60-100cm_N_D
396,S3_S3_L_4_>100cm_60-100cm_Y_D
397,S3_S3_L_4_>100cm_<60cm_N_A
398,S3_S3_L_4_>100cm_>100cm_N_A
399,S3_S3_L_4_>100cm_>100cm_N_B
400,S3_S3_L_4_>100cm_>100cm_N_C
401,S3_S3_L_4_>100cm_>100cm_Y_A
402,S3_S3_L_4_>100cm_>100cm_Y_B
403,S3_S3_L_4_>100cm_>100cm_Y_C
404,S3_S3_S1_2_>100cm_60-100cm_N_A
405,S3_S3_S1_2_>100cm_60-100cm_N_B
406,S3_S3_S1_2_>100cm_>100cm_N_A
407,S3_S3_S1_2_>100cm_>100cm_Y_A
408,S3_S3_S1_4_>100cm_60-100cm_N_A
409,S3_S3_S1_4_>100cm_60-100cm_N_B
410,S3_S3_S1_4_>100cm_60-100cm_N_D
411,S3_S3_S1_4_>100cm_60-100cm_Y_A
412,S3_S3_S1_4_>100cm_60-100cm_Y_B
413,S3_S3_S1_4_>100cm_60-100cm_Y_D
414,S3_S3_S1_4_>100cm_<60cm_N_A
415,S3_S3_S1_4_>100cm_<60cm_N_D
416,S3_S3_S1_4_>100cm_<60cm_Y_A
417,S3_S3_S1_4_>100cm_>100cm_N_A
418,S3_S3_S1_4_>100cm_>100cm_N_B
419,S3_S3_S1_4_>100cm_>100cm_N_C
420,S3_S3_S1_4_>100cm_>100cm_Y_A
421,S3_S3_S1_4_>100cm_>100cm_Y_B
422,S3_S3_S1_4_>100cm_>100cm_Y_C
423,S3_S3_S1_5_>100cm_60-100cm_N_A
424,S3_S3_S1_5_>100cm_60-100cm_Y_A
425,S3_S3_S1_5_>100cm_<60cm_N_A
426,S3_S3_S1_5_>100cm_>100cm_N_A
427,S3_S3_S1_5_>100cm_>100cm_N_B
428,S3_S3_S1_5_>100cm_>100cm_Y_A
429,S3_S3_S1_5_>100cm_>100cm_Y_B
430,S3_S3_S3_4_>100cm_60-100cm_N_A
431,S3_S3_S3_4_>100cm_60-100cm_Y_A
432,S3_S3_S3_4_>100cm_60-100cm_Y_D
433,S3_S3_S3_4_>100cm_<60cm_N_A
434,S3_S3_S3_4_>100cm_<60cm_N_D
435,S3_S3_S3_4_>100cm_>100cm_N_A
436,S3_S3_S3_4_>100cm_>100cm_N_B
437,S3_S3_S3_4_>100cm_>100cm_Y_A
438,S3_S3_S3_4_>100cm_>100cm_Y_B
439,S3_S3_S3_4_>100cm_>100cm_Y_C
440,S3_S3_S3_5_>100cm_60-100cm_N_A
441,S3_S3_S3_5_>100cm_60-100cm_Y_A
442,S3_S3_S3_5_>100cm_>100cm_N_A
443,S3_S3_S3_5_>100cm_>100cm_N_B
444,S3_S3_S3_5_>100cm_>100cm_Y_A
445,S3_S3_S3_8_>100cm_60-100cm_Y_A
446,S3_S3_S3_8_>100cm_<60cm_N_A
447,S3_S3_S3_8_>100cm_>100cm_N_A
448,S3_S3_S3_8_>100cm_>100cm_Y_A
449,S3_S3_SL3_2_>100cm_60-100cm_N_B
450,S3_S3_SL3_2_>100cm_60-100cm_Y_B
451,S3_S3_SL3_2_>100cm_>100cm_N_A
452,S3_S3_SL3_2_>100cm_>100cm_Y_B
453,S3_S3_SL3_3_>100cm_60-100cm_N_A
454,S3_S3_SL3_3_>100cm_60-100cm_N_C
455,S3_S3_SL3_3_>100cm_60-100cm_N_D
456,S3_S3_SL3_3_>100cm_60-100cm_Y_A
457,S3_S3_SL3_3_>100cm_60-100cm_Y_B
458,S3_S3_SL3_3_>100cm_60-100cm_Y_C
459,S3_S3_SL3_3_>100cm_60-100cm_Y_D
460,S3_S3_SL3_3_>100cm_<60cm_N_A
461,S3_S3_SL3_3_>100cm_<60cm_N_B
462,S3_S3_SL3_3_>100cm_<60cm_N_C
463,S3_S3_SL3_3_>100cm_<60cm_Y_B
464,S3_S3_SL3_3_>100cm_<60cm_Y_C
465,S3_S3_SL3_3_>100cm_>100cm_N_A
466,S3_S3_SL3_3_>100cm_>100cm_N_B
467,S3_S3_SL3_3_>100cm_>100cm_N_C
468,S3_S3_SL3_3_>100cm_>100cm_Y_A
469,S3_S3_SL3_3_>100cm_>100cm_Y_B
470,S3_S3_SL3_3_>100cm_>100cm_Y_C
471,S3_S3_SL3_4_>100cm_60-100cm_N_A
